,0
240,-0.3925547432734175
241,0.16470842632270158
242,-0.45424858002161694
243,-0.24144892458757594
244,-0.21253310393713204
245,1.0241929095667122
246,-0.3927323059825587
247,-0.0407051135075798
248,-0.8803835143497077
249,-0.4680876554995245
250,-0.6685835689668708
251,0.29996098710546415
252,-0.33294228446726937
253,-0.39019193153424014
254,-0.45451464977366246
255,0.008094778798183051
256,-0.510486273770529
257,-0.10422793977420532
258,-0.5074096998660623
259,-1.1576286546159418
260,-0.45480936942293254
261,-0.41227668372744436
262,-0.3720790338640649
263,0.0565506894040436
264,0.07624065525648878
265,-0.4919336684886138
266,-0.8657753540289181
267,-0.699452387165216
268,0.27886415630181915
269,0.12868641207971587
270,-0.15248032399699032
271,-0.3334434547512562
272,-0.34281650575350403
273,-0.3585903513088488
274,-0.2217605638850793
275,-0.3730029377134866
276,-0.5623006940494043
277,-0.4206425831497307
278,-0.015053889710525625
279,-0.5080540170777015
280,-0.3675673483805826
281,-0.022470283266557235
282,0.42394196149753044
283,-0.32108719277644826
284,-0.41749412143488407
285,-0.21690655620104748
286,-0.1992628453485468
287,-0.3362936650060006
288,0.2051325201646009
